"k","n","tau","null_type","n_valid","n_NA","mean_phi","q95_phi","FPR_Low","FPR_Medium","FPR_High","FPR_Critical","BF_High","size_ok_High"
10,15,0,"Pure null (homogeneous)",10000,0,0.658,0.976,0.277,0.154,0.091,0.006,0.084,FALSE
10,15,0.1,"Heterogeneous (small RE)",10000,0,0.651,0.976,0.259,0.149,0.093,0.005,0.084,FALSE
10,15,0.2,"Heterogeneous (medium RE)",10000,0,0.639,0.979,0.249,0.167,0.108,0.007,0.084,FALSE
10,15,0.3,"Heterogeneous (large RE)",10000,0,0.62,0.981,0.227,0.172,0.123,0.007,0.084,FALSE
10,30,0,"Pure null (homogeneous)",10000,0,0.657,0.976,0.27,0.147,0.09,0.006,0.084,FALSE
10,30,0.1,"Heterogeneous (small RE)",10000,0,0.645,0.978,0.254,0.158,0.103,0.007,0.084,FALSE
10,30,0.2,"Heterogeneous (medium RE)",10000,0,0.624,0.978,0.231,0.172,0.116,0.007,0.084,FALSE
10,30,0.3,"Heterogeneous (large RE)",10000,0,0.594,0.977,0.201,0.173,0.126,0.008,0.084,FALSE
10,60,0,"Pure null (homogeneous)",10000,0,0.659,0.976,0.276,0.148,0.095,0.006,0.084,FALSE
10,60,0.1,"Heterogeneous (small RE)",10000,0,0.637,0.979,0.243,0.157,0.106,0.007,0.084,FALSE
10,60,0.2,"Heterogeneous (medium RE)",10000,0,0.6,0.978,0.204,0.172,0.127,0.007,0.084,FALSE
10,60,0.3,"Heterogeneous (large RE)",10000,0,0.557,0.976,0.145,0.134,0.106,0.005,0.084,FALSE
20,15,0,"Pure null (homogeneous)",10000,0,0.686,0.974,0.362,0.192,0.055,0.008,0.084,FALSE
20,15,0.1,"Heterogeneous (small RE)",10000,0,0.682,0.975,0.359,0.204,0.055,0.01,0.084,FALSE
20,15,0.2,"Heterogeneous (medium RE)",10000,0,0.655,0.972,0.331,0.196,0.049,0.01,0.084,TRUE
20,15,0.3,"Heterogeneous (large RE)",10000,0,0.62,0.966,0.294,0.19,0.042,0.013,0.084,TRUE
